structure_candidate_id,candidate_generation_version,group,pattern_type,feature_atom_ids,threshold_ids,lookback_days,profile_window_bucket,sequence_lag_days,dedup_gap_days,profile_definition,action_time_definition,trigger_date_policy,background_control_policy,formula_hash,config_row_hash,feature,operator,threshold,required_days,observable_trigger_rule,max_lag_days,first_trigger_only_flag,raw_feature_list,shared_feature_family
r02v2_acceleration_and_gap_persistence_3fbc74_0602d7_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,acceleration_and_gap,persistence,acceleration_ret1d,0602d7c813,3,build_window,0,20,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,91016f0c008ef9d3,06b40825bafa2b86,return1d,>=,0.05,3,return1d >= 0.05; rolling_days=3; required_days=3; window=build_window,0,True,return1d,acceleration
r02v2_industry_market_support_persistence_ae7180_a2cffa_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,5,build_window,0,20,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=build_window,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,35a6cd2d71e34cce,4eacdb8b02b9e4b6,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=build_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_a2cffa_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,3,continuation_window,0,20,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=continuation_window,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,3845d6275fff11f3,f2135fd092db152b,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_a2cffa_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,5,continuation_window,0,20,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=continuation_window,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,528293b270374470,45936dcaa0972692,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_a2cffa_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,3,full_window,0,20,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=full_window,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,b750b21a8e1970f7,4030f3fff9da1067,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_a2cffa_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,5,full_window,0,20,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=full_window,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,6a9e508b27473ae5,d02c071c22f3cfd2,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_a2cffa_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,3,early_window,0,20,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=early_window,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,1c2388768e5e0b99,7f0172b91353e17c,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=3; required_days=3; window=early_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_a2cffa_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,a2cffa866c,5,early_window,0,20,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=early_window,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,e897a66e7d89282d,55a717e095910e03,industry_breadth20,>=,0.55,3,industry_breadth20 >= 0.55; rolling_days=5; required_days=3; window=early_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,3,build_window,0,20,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=build_window,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,3a612b979a0f796e,f1aefbcdd0ee2b45,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=build_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,5,build_window,0,20,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=build_window,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,00c4aa9ffed733bd,8bd26e24fcb87a39,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=build_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,3,continuation_window,0,20,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=continuation_window,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,e6920ea73e8f9f9b,e6afc12fea155ff5,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,5,continuation_window,0,20,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=continuation_window,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,fd55b76bc0588b0f,859b6f931ecfa08b,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,3,full_window,0,20,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=full_window,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,e8f08d5f5f373a90,3db741a70553849d,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,5,full_window,0,20,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=full_window,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,342a5fa7ae7ba8ec,4ca54c0e851f7a99,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,3,early_window,0,20,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=early_window,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,d6debebc43bc45e1,fd675b95fe69f224,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=3; required_days=3; window=early_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_persistence_ae7180_ce5d3a_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,persistence,industry_breadth20,ce5d3aa79a,5,early_window,0,20,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=early_window,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,52bfe21e8fbcac48,a742580fa474dfca,industry_breadth20,>=,0.75,3,industry_breadth20 >= 0.75; rolling_days=5; required_days=3; window=early_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_973b37_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,973b372a51,1,build_window,0,20,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=build_window,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,bf77aa894c8e228d,01b70c4fbba67733,market_breadth20,>=,0.7,1,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=build_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_973b37_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,973b372a51,1,continuation_window,0,20,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=continuation_window,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,568e6180c468586f,7281e47c40409423,market_breadth20,>=,0.7,1,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=continuation_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_973b37_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,973b372a51,1,full_window,0,20,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=full_window,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,3ae111f73faf31d1,a7b38d491bc1c0bb,market_breadth20,>=,0.7,1,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=full_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_973b37_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,973b372a51,1,early_window,0,20,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=early_window,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,edbbad39359433f0,49d2bcc36888d15b,market_breadth20,>=,0.7,1,market_breadth20 >= 0.7; rolling_days=1; required_days=1; window=early_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_b4af4e_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,b4af4e0d40,1,build_window,0,20,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=build_window,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,c9d533a82d925119,9a7b353c3862a27c,market_breadth20,>=,0.6,1,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=build_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_b4af4e_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,b4af4e0d40,1,continuation_window,0,20,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=continuation_window,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,7a06e2add6eda2d6,e95d2a51ebe113df,market_breadth20,>=,0.6,1,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=continuation_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_b4af4e_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,b4af4e0d40,1,full_window,0,20,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=full_window,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,cfcd61f118567305,2fd38011af3c6cda,market_breadth20,>=,0.6,1,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=full_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_b4af4e_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,b4af4e0d40,1,early_window,0,20,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=early_window,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,12a2c6d8eecb6fb0,1e0fd4d90fb33f30,market_breadth20,>=,0.6,1,market_breadth20 >= 0.6; rolling_days=1; required_days=1; window=early_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_d2cbad_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,d2cbad71ff,1,build_window,0,20,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=build_window,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,681bc98cfb501364,8a5e2d5a5b67e5de,market_breadth20,>=,0.5,1,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=build_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_d2cbad_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,d2cbad71ff,1,continuation_window,0,20,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=continuation_window,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,cfa74f427209075c,c23bbe10d49ada79,market_breadth20,>=,0.5,1,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=continuation_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_d2cbad_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,d2cbad71ff,1,full_window,0,20,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=full_window,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,b5e873997787344f,705ebcb6339bd211,market_breadth20,>=,0.5,1,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=full_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_1101af_d2cbad_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,market_breadth20,d2cbad71ff,1,early_window,0,20,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=early_window,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,b40cdcb135915566,88a3e674f849c564,market_breadth20,>=,0.5,1,market_breadth20 >= 0.5; rolling_days=1; required_days=1; window=early_window,0,True,market_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_494287_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,4942870d73,1,build_window,0,20,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=build_window,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,c26f352fe2648f37,e20d6ffaebf37d81,industry_breadth20,>=,0.65,1,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=build_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_494287_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,4942870d73,1,continuation_window,0,20,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=continuation_window,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,e52567340cafafa8,b45529a49db5c93f,industry_breadth20,>=,0.65,1,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_494287_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,4942870d73,1,full_window,0,20,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=full_window,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,74e58945d62d72ea,87449bb37a1d02b7,industry_breadth20,>=,0.65,1,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_494287_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,4942870d73,1,early_window,0,20,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=early_window,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,6d6574940dcbe3bb,c2fbb719a54b6a07,industry_breadth20,>=,0.65,1,industry_breadth20 >= 0.65; rolling_days=1; required_days=1; window=early_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_a2cffa_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,a2cffa866c,1,build_window,0,20,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=build_window,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,4204fda7688742aa,f3feb831cfff3142,industry_breadth20,>=,0.55,1,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=build_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_a2cffa_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,a2cffa866c,1,continuation_window,0,20,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=continuation_window,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,e63d8df35000eae2,b3d7f676534c2520,industry_breadth20,>=,0.55,1,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_a2cffa_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,a2cffa866c,1,full_window,0,20,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=full_window,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,8f994aa8355557bd,860a94ad459c6141,industry_breadth20,>=,0.55,1,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_a2cffa_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,a2cffa866c,1,early_window,0,20,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=early_window,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,2a41dfda25175707,c98a8b5dc45e1ea1,industry_breadth20,>=,0.55,1,industry_breadth20 >= 0.55; rolling_days=1; required_days=1; window=early_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_ce5d3a_156070_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,ce5d3aa79a,1,build_window,0,20,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=build_window,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=build_window,first_observable_pattern_complete_date,both,913cc5fa9fc6eb03,26f85fdb6dd9aa6b,industry_breadth20,>=,0.75,1,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=build_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_ce5d3a_23e5f3_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,ce5d3aa79a,1,continuation_window,0,20,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=continuation_window,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=continuation_window,first_observable_pattern_complete_date,both,d69314380c30238a,2267c4185940c1a8,industry_breadth20,>=,0.75,1,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=continuation_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_ce5d3a_60f76f_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,ce5d3aa79a,1,full_window,0,20,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=full_window,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=full_window,first_observable_pattern_complete_date,both,35e2364c3a4b4390,da0f5a11fa827ab8,industry_breadth20,>=,0.75,1,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=full_window,0,True,industry_breadth20,industry_market
r02v2_industry_market_support_point_in_window_existence_ae7180_ce5d3a_a96cae_6b86b2_f5ca38,r02_v2_candidate_grid_v1,industry_market_support,point_in_window_existence,industry_breadth20,ce5d3aa79a,1,early_window,0,20,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=early_window,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=early_window,first_observable_pattern_complete_date,both,20235b4831a0f52a,a25da90413485616,industry_breadth20,>=,0.75,1,industry_breadth20 >= 0.75; rolling_days=1; required_days=1; window=early_window,0,True,industry_breadth20,industry_market
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,3,build_window,0,20,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=build_window,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,d3070c72b7006d76,f3686606b1304365,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=build_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_156070_ef2d12_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,5,build_window,0,20,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=build_window,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=build_window,first_observable_pattern_complete_date,both,f4b61994d0f8d88f,f72403aa1f157797,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=build_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_23e5f3_4e0740_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,3,continuation_window,0,20,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=continuation_window,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,7945beca1dde4ac8,c3ed8f5576e7e534,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=continuation_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_23e5f3_ef2d12_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,5,continuation_window,0,20,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=continuation_window,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=continuation_window,first_observable_pattern_complete_date,both,efb8befd74d6ff78,75b63916e3fa4902,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=continuation_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_60f76f_4e0740_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,3,full_window,0,20,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=full_window,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=full_window,first_observable_pattern_complete_date,both,2d20f7aaf0ffe1bc,e1721c5736e72faa,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=full_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_60f76f_ef2d12_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,5,full_window,0,20,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=full_window,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=full_window,first_observable_pattern_complete_date,both,60929944c2b3b907,e175debeac9ec21b,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=full_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_a96cae_4e0740_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,3,early_window,0,20,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=early_window,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=early_window,first_observable_pattern_complete_date,both,49707f3e924c56cf,dcab41bd497671c5,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=3; required_days=3; window=early_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_0602d7_a96cae_ef2d12_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,0602d7c813,5,early_window,0,20,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=early_window,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=early_window,first_observable_pattern_complete_date,both,87fcbef0419418ef,437c15766f3331fc,ret5_asof,>=,0.05,3,ret5_asof >= 0.05; rolling_days=5; required_days=3; window=early_window,0,True,ret5_asof,momentum
r02v2_momentum_persistence_persistence_5a4bd9_368191_156070_4e0740_f5ca38,r02_v2_candidate_grid_v1,momentum_persistence,persistence,mom_ret5,36819111cf,3,build_window,0,20,ret5_asof >= 0.08; rolling_days=3; required_days=3; window=build_window,ret5_asof >= 0.08; rolling_days=3; required_days=3; window=build_window,first_observable_pattern_complete_date,both,e04900f97e4d82c0,3cedabd88e8dad34,ret5_asof,>=,0.08,3,ret5_asof >= 0.08; rolling_days=3; required_days=3; window=build_window,0,True,ret5_asof,momentum
